Designator,Mid X,Mid Y,Rotation,Layer
C1,10.005,44.45,0.0,bottom
C10,31.75,56.0425,270.0,bottom
C11,46.0375,57.15,90.0,bottom
C12,113.40625,42.739866,0.0,bottom
C2,2.38125,43.97,90.0,bottom
C3,5.269395,33.75763,270.0,bottom
C4,12.7,36.5125,180.0,bottom
C5,9.072493,34.989999,0.0,bottom
C6,3.96875,44.45,180.0,bottom
C7,6.285671,33.76394,270.0,bottom
C8,38.1,56.67,270.0,bottom
C9,23.835301,53.183642,90.0,bottom
D1,41.275,57.15,0.0,bottom
D_SPACE1,22.225,69.85,90.0,bottom
D_SPACE10,185.55,64.29375,0.0,bottom
D_SPACE11,204.6,64.29375,0.0,bottom
D_SPACE12,24.60625,45.24375,0.0,bottom
D_SPACE13,38.101094,45.24375,0.0,bottom
D_SPACE14,57.15,45.24375,0.0,bottom
D_SPACE15,76.2,45.24375,0.0,bottom
D_SPACE16,80.9625,45.24375,180.0,bottom
D_SPACE17,104.775,53.975,270.0,bottom
D_SPACE18,132.55625,45.24375,0.0,bottom
D_SPACE19,151.598438,45.24375,0.0,bottom
D_SPACE2,32.54375,64.29375,0.0,bottom
D_SPACE20,170.628825,45.24375,0.0,bottom
D_SPACE21,184.94375,45.24375,0.0,bottom
D_SPACE22,201.6125,44.45,180.0,bottom
D_SPACE23,24.60625,26.19375,180.0,bottom
D_SPACE24,33.3375,26.19375,0.0,bottom
D_SPACE25,52.3875,26.19375,0.0,bottom
D_SPACE26,71.4375,26.19375,0.0,bottom
D_SPACE27,90.4875,26.19375,0.0,bottom
D_SPACE28,104.775,34.13125,90.0,bottom
D_SPACE29,128.5875,26.19375,0.0,bottom
D_SPACE3,52.3875,64.29375,0.0,bottom
D_SPACE30,147.6375,26.19375,0.0,bottom
D_SPACE31,166.6875,26.19375,0.0,bottom
D_SPACE32,191.29375,26.19375,0.0,bottom
D_SPACE33,203.99375,26.19375,180.0,bottom
D_SPACE34,47.625,18.25625,270.0,bottom
D_SPACE35,69.85,18.25625,270.0,bottom
D_SPACE36,76.99375,18.25625,270.0,bottom
D_SPACE37,104.775,15.08125,270.0,bottom
D_SPACE38,141.2875,18.25625,270.0,bottom
D_SPACE39,155.575,18.25625,270.0,bottom
D_SPACE4,71.4375,64.29375,0.0,bottom
D_SPACE40,176.2125,18.25625,270.0,bottom
D_SPACE42,119.0625,18.25625,270.0,bottom
D_SPACE5,90.4875,64.29375,0.0,bottom
D_SPACE6,104.775,72.23125,90.0,bottom
D_SPACE7,128.4,64.29375,0.0,bottom
D_SPACE8,147.45,64.29375,0.0,bottom
D_SPACE9,166.5,64.29375,0.0,bottom
F2,44.45,56.54375,90.0,bottom
J1,38.1,73.1125,0.0,bottom
LED1,19.05,56.6,0.0,bottom
LED10,80.9625,20.6375,180.0,bottom
LED11,53.975,20.6375,180.0,bottom
LED12,19.05,24.60625,180.0,bottom
LED2,54.76875,56.35625,0.0,bottom
LED3,85.725,56.35625,0.0,bottom
LED4,123.825,56.35625,0.0,bottom
LED5,158.62875,56.35625,0.0,bottom
LED6,187.325,56.35625,0.0,bottom
LED7,187.325,24.60625,180.0,bottom
LED8,158.75,20.6375,180.0,bottom
LED9,129.38125,20.6375,180.0,bottom
R1,11.1125,56.44,90.0,bottom
R2,31.46625,73.81875,0.0,bottom
R3,44.96,73.81875,180.0,bottom
R4,109.82125,71.4375,180.0,bottom
R5,106.3625,69.34,0.0,bottom
SW4,6.35,56.95,0.0,bottom
U1,7.14375,39.6875,180.0,bottom
U2,34.925,56.35625,0.0,bottom
U3,21.43125,51.59375,270.0,bottom
UR1,96.34166,42.739866,180.0,bottom
UR2,96.34166,44.65,0.0,bottom
UR3,113.40625,44.65,180.0,bottom
